station,waterline_z,half_breadth
0,0,0
0,1.4,0
0,2.8,0
0,4.2,0
0,5.6,0
0,7,0
0,8.4,0
0,9.8,0
0,11.2,0
0,12.6,0
0,14,0
8,0,2.603
8,1.4,2.577
8,2.8,2.499
8,4.2,2.369
8,5.6,2.187
8,7,1.952
8,8.4,1.666
8,9.8,1.328
8,11.2,0.937
8,12.6,0.495
8,14,0
16,0,4.932
16,1.4,4.883
16,2.8,4.735
16,4.2,4.488
16,5.6,4.143
16,7,3.699
16,8.4,3.156
16,9.8,2.515
16,11.2,1.776
16,12.6,0.937
16,14,0
24,0,6.987
24,1.4,6.917
24,2.8,6.708
24,4.2,6.358
24,5.6,5.869
24,7,5.24
24,8.4,4.472
24,9.8,3.563
24,11.2,2.515
24,12.6,1.328
24,14,0
32,0,8.768
32,1.4,8.68
32,2.8,8.417
32,4.2,7.979
32,5.6,7.365
32,7,6.576
32,8.4,5.612
32,9.8,4.472
32,11.2,3.156
32,12.6,1.666
32,14,0
40,0,10.275
40,1.4,10.172
40,2.8,9.864
40,4.2,9.35
40,5.6,8.631
40,7,7.706
40,8.4,6.576
40,9.8,5.24
40,11.2,3.699
40,12.6,1.952
40,14,0
48,0,11.508
48,1.4,11.393
48,2.8,11.048
48,4.2,10.472
48,5.6,9.667
48,7,8.631
48,8.4,7.365
48,9.8,5.869
48,11.2,4.143
48,12.6,2.187
48,14,0
56,0,12.467
56,1.4,12.342
56,2.8,11.968
56,4.2,11.345
56,5.6,10.472
56,7,9.35
56,8.4,7.979
56,9.8,6.358
56,11.2,4.488
56,12.6,2.369
56,14,0
64,0,13.152
64,1.4,13.02
64,2.8,12.626
64,4.2,11.968
64,5.6,11.048
64,7,9.864
64,8.4,8.417
64,9.8,6.708
64,11.2,4.735
64,12.6,2.499
64,14,0
72,0,13.563
72,1.4,13.427
72,2.8,13.02
72,4.2,12.342
72,5.6,11.393
72,7,10.172
72,8.4,8.68
72,9.8,6.917
72,11.2,4.883
72,12.6,2.577
72,14,0
80,0,13.7
80,1.4,13.563
80,2.8,13.152
80,4.2,12.467
80,5.6,11.508
80,7,10.275
80,8.4,8.768
80,9.8,6.987
80,11.2,4.932
80,12.6,2.603
80,14,0
88,0,13.563
88,1.4,13.427
88,2.8,13.02
88,4.2,12.342
88,5.6,11.393
88,7,10.172
88,8.4,8.68
88,9.8,6.917
88,11.2,4.883
88,12.6,2.577
88,14,0
96,0,13.152
96,1.4,13.02
96,2.8,12.626
96,4.2,11.968
96,5.6,11.048
96,7,9.864
96,8.4,8.417
96,9.8,6.708
96,11.2,4.735
96,12.6,2.499
96,14,0
104,0,12.467
104,1.4,12.342
104,2.8,11.968
104,4.2,11.345
104,5.6,10.472
104,7,9.35
104,8.4,7.979
104,9.8,6.358
104,11.2,4.488
104,12.6,2.369
104,14,0
112,0,11.508
112,1.4,11.393
112,2.8,11.048
112,4.2,10.472
112,5.6,9.667
112,7,8.631
112,8.4,7.365
112,9.8,5.869
112,11.2,4.143
112,12.6,2.187
112,14,0
120,0,10.275
120,1.4,10.172
120,2.8,9.864
120,4.2,9.35
120,5.6,8.631
120,7,7.706
120,8.4,6.576
120,9.8,5.24
120,11.2,3.699
120,12.6,1.952
120,14,0
128,0,8.768
128,1.4,8.68
128,2.8,8.417
128,4.2,7.979
128,5.6,7.365
128,7,6.576
128,8.4,5.612
128,9.8,4.472
128,11.2,3.156
128,12.6,1.666
128,14,0
136,0,6.987
136,1.4,6.917
136,2.8,6.708
136,4.2,6.358
136,5.6,5.869
136,7,5.24
136,8.4,4.472
136,9.8,3.563
136,11.2,2.515
136,12.6,1.328
136,14,0
144,0,4.932
144,1.4,4.883
144,2.8,4.735
144,4.2,4.488
144,5.6,4.143
144,7,3.699
144,8.4,3.156
144,9.8,2.515
144,11.2,1.776
144,12.6,0.937
144,14,0
152,0,2.603
152,1.4,2.577
152,2.8,2.499
152,4.2,2.369
152,5.6,2.187
152,7,1.952
152,8.4,1.666
152,9.8,1.328
152,11.2,0.937
152,12.6,0.495
152,14,0
160,0,0
160,1.4,0
160,2.8,0
160,4.2,0
160,5.6,0
160,7,0
160,8.4,0
160,9.8,0
160,11.2,0
160,12.6,0
160,14,0
